Sl.No,ULB,Private High schools,Private Upper primary schools,Private Primary schools,Government High schools,Government Upper primary schools,Government Primary schools,Private Junior/Polytechnic Colleges,Private Degree/Engineering/Post Graduation Colleges,Government Junior/Polytechnic Colleges,Government Degree/Engineering/Post Graduation Colleges,Hostels (No's),Last updated
1,Adilabad,8,10,13,7,8,11,3,2,4,2,0,11/07/18 12:06
2,Andol-Jogipet,6,1,1,3,2,7,3,1,0,1,6,25/10/17 3:17
3,Armoor,8,0,5,9,0,5,5,2,1,1,0,20/07/18 12:25
4,Atchampet,10,3,2,4,2,5,3,2,2,0,3,25/10/17 3:17
5,Badangpet,27,16,9,5,6,10,1,6,1,0,1,25/10/17 3:17
6,Badepally,15,11,10,4,2,2,4,3,2,4,4,25/10/17 3:17
7,Bellampalle,6,0,10,9,1,12,4,3,1,1,3,05/07/18 4:11
8,Bhainsa,19,9,3,4,2,13,3,1,1,1,2,07/07/18 11:35
9,Bhongir,0,0,0,10,6,14,0,0,0,0,0,25/10/17 3:18
10,Bhupalapally,23,0,0,2,1,11,8,5,1,1,0,02/01/18 5:12
11,Bodhan,20,12,2,7,3,22,7,5,2,1,12,25/10/17 3:17
12,Boduppal,40,5,15,1,3,3,5,2,0,0,0,25/10/17 3:17
13,Devarakonda,0,0,0,0,0,0,0,0,0,0,0,25/10/17 3:17
14,Dubbaka,6,0,0,11,5,6,2,4,1,1,6,25/10/17 3:18
15,Gadwal,10,0,0,7,4,6,5,3,2,2,12,25/10/17 3:18
16,Gajwel,12,15,3,4,3,8,10,4,1,2,0,05/07/18 7:25
17,Husnabad,6,12,10,2,6,3,6,4,4,1,6,25/10/17 3:17
18,Huzurabad,5,8,20,3,0,4,6,3,1,1,4,05/07/18 5:53
19,Huzurnagar,6,4,0,3,4,8,4,2,1,1,5,25/10/17 3:17
20,Ibrahimpatnam,0,0,0,0,0,0,0,0,0,0,0,25/10/17 3:28
21,Ieeja,11,1,2,3,3,5,4,2,1,0,2,25/10/17 3:17
22,Jagtial,48,17,10,9,2,21,2,8,2,2,2,25/10/17 3:17
23,Jammikunta,12,4,2,4,1,6,6,5,1,1,6,25/10/17 3:17
24,Jangoan,8,5,3,4,2,8,7,6,2,1,4,09/01/18 4:30
25,Jelpally,6,9,5,0,7,0,2,0,0,0,0,12/07/18 2:15
26,Jillelguda,17,0,5,1,0,6,0,0,0,0,0,31/10/17 6:14
27,Kagaznagar,14,0,9,14,0,22,3,2,3,1,4,06/07/18 4:47
28,Kalwakurthy,9,7,3,3,4,4,6,4,1,1,8,25/10/17 3:18
29,Kamareddy,36,21,0,20,20,0,8,6,1,1,0,14/02/18 1:18
30,Karimnagar,21,15,5,6,4,4,8,11,3,2,3,07/07/18 2:28
31,Khammam,0,0,0,0,0,0,0,0,0,0,0,25/10/17 3:22
