District ,Mandal,GP,female,male,transgender
ADILABAD,ADILABAD,ANKOLI,814,524,1
ADILABAD,ADILABAD,ANUKUNTA,839,536,4
ADILABAD,ADILABAD,ARLI(B),304,171,1
ADILABAD,ADILABAD,BATTISAWARGOAN,910,514,1
ADILABAD,ADILABAD,BHEEMSERI,530,292,3
ADILABAD,ADILABAD,CHANDA,658,363,4
ADILABAD,ADILABAD,CHINCHUGHAT,624,410,2
ADILABAD,ADILABAD,JAMDAPUR,321,177,1
ADILABAD,ADILABAD,KACHKANTI,353,238,
ADILABAD,ADILABAD,KHANAPUR-CH,748,482,3
ADILABAD,ADILABAD,KHANDALA,602,419,3
ADILABAD,ADILABAD,KUMBHAJHERI,99,62,
ADILABAD,ADILABAD,LANDASANGVI,414,240,
ADILABAD,ADILABAD,LOKARI,242,167,
ADILABAD,ADILABAD,MAVALA,5221,2950,13
ADILABAD,ADILABAD,PIPPALDHARI,591,415,2
ADILABAD,ADILABAD,POCHARA,383,171,1
ADILABAD,ADILABAD,RAMAI,377,261,3
ADILABAD,ADILABAD,RAMPUR,231,100,
ADILABAD,ADILABAD,THANTHOLI,475,303,
ADILABAD,ADILABAD,WAGHAPUR,313,195,2
ADILABAD,ADILABAD,WANWAT,440,291,
ADILABAD,ADILABAD,YAPALGUDA,924,464,4
ADILABAD,BAZARHATHNOOR,BAZARHATHNOOR,1066,669,1
ADILABAD,BAZARHATHNOOR,BHUTAI-B,608,400,4
ADILABAD,BAZARHATHNOOR,BHUTAI-K,487,379,5
ADILABAD,BAZARHATHNOOR,DARAMPURI,169,86,
ADILABAD,BAZARHATHNOOR,DEHGAON,430,231,4
ADILABAD,BAZARHATHNOOR,GIRNUR,494,278,1
ADILABAD,BAZARHATHNOOR,GOKONDA,367,220,
ADILABAD,BAZARHATHNOOR,JATARLA,423,253,
ADILABAD,BAZARHATHNOOR,MORKHANDI,254,112,
ADILABAD,BAZARHATHNOOR,PIPRI,393,183,1
ADILABAD,BAZARHATHNOOR,RAMPUR,532,359,7
ADILABAD,BAZARHATHNOOR,TEMBI,600,448,6
ADILABAD,BAZARHATHNOOR,WARTHAMANOOR,288,183,1
ADILABAD,BELA,AWALPUR,261,148,1
ADILABAD,BELA,BELA,594,316,5
ADILABAD,BELA,BHADI,554,384,
ADILABAD,BELA,BHEDODA,217,150,1
ADILABAD,BELA,BHODOD (KOPSI),96,58,1
ADILABAD,BELA,CHANDPALLE,373,243,2
ADILABAD,BELA,CHAPRALA,447,281,3
ADILABAD,BELA,DEHEGOAN,246,126,
ADILABAD,BELA,DHOPTALA,245,151,
ADILABAD,BELA,GUDA,237,165,2
ADILABAD,BELA,JUNONI,171,106,2
ADILABAD,BELA,KHOGDUR,268,189,2
ADILABAD,BELA,KOBHAI,288,139,
ADILABAD,BELA,SADALPUR,290,186,2
ADILABAD,BELA,SANGDI,394,233,1
ADILABAD,BELA,SANGVI,389,284,3
ADILABAD,BELA,SIRSANNA,297,158,3
ADILABAD,BELA,SONKHOS,206,140,1
ADILABAD,BELA,SYEDPUR,534,350,1
ADILABAD,BELA,TAKLI,190,117,
ADILABAD,BELA,TOYAGUDA,219,168,
ADILABAD,BHAINSA,CHICHOND,338,217,1
ADILABAD,BHAINSA,CHINTALABORI,535,280,2
ADILABAD,BHAINSA,DAHEGAON,902,556,1
ADILABAD,BHAINSA,EKGAON,333,165,
ADILABAD,BHAINSA,ELEGAON,699,400,2
ADILABAD,BHAINSA,HASGUL,467,258,3
ADILABAD,BHAINSA,KAMOL,993,548,7
ADILABAD,BHAINSA,KOTALGAON,635,341,1
ADILABAD,BHAINSA,KUMBHI,180,79,1
ADILABAD,BHAINSA,MAHAGAON,837,504,3
ADILABAD,BHAINSA,MATEGAON,220,83,3
ADILABAD,BHAINSA,MIRZAPUR,667,368,1
ADILABAD,BHAINSA,PANGRI,528,320,1
ADILABAD,BHAINSA,PENDAPALLE,501,268,4
ADILABAD,BHAINSA,SUNKLI,382,223,2
ADILABAD,BHAINSA,THIMMAPUR,577,337,
ADILABAD,BHAINSA,WALEGAON,449,218,1
ADILABAD,BHAINSA,WANALPAHAD,434,239,2
ADILABAD,BHAINSA,WATOLI,307,171,
ADILABAD,BOATH,ANDURU,615,386,3
ADILABAD,BOATH,BABERA,433,282,1
ADILABAD,BOATH,BOATH (B),2193,1202,4
ADILABAD,BOATH,CHINTALBORI,376,207,1
ADILABAD,BOATH,DHANNUR (B),884,450,3
ADILABAD,BOATH,GHANPUR,230,105,2
ADILABAD,BOATH,KANGUTTA,392,195,
ADILABAD,BOATH,KARATHWADA,409,263,
ADILABAD,BOATH,KOWTHA,915,521,4
ADILABAD,BOATH,KUCHALAPUR,449,250,1
ADILABAD,BOATH,MARLAPALLE,328,166,
ADILABAD,BOATH,NIGINI,431,277,
ADILABAD,BOATH,PARDI (K),349,239,1
ADILABAD,BOATH,PATNAPUR,258,148,
ADILABAD,BOATH,POCHERA,620,329,6
ADILABAD,BOATH,SAKHERA,487,289,4
ADILABAD,BOATH,SONALA,1376,763,7
ADILABAD,BOATH,WAJAR,195,137,
ADILABAD,DILAWARPUR,BANSAPALLE,385,168,2
ADILABAD,DILAWARPUR,DILAWARPUR,1794,1031,5
ADILABAD,DILAWARPUR,GUNDAMPALLY,818,453,2
ADILABAD,DILAWARPUR,KALWA,914,532,2
ADILABAD,DILAWARPUR,KANJAR,205,123,
ADILABAD,DILAWARPUR,KUSLI,729,426,6
ADILABAD,DILAWARPUR,LOLAM NEW,403,238,
ADILABAD,DILAWARPUR,MADEGAON,338,206,
ADILABAD,DILAWARPUR,NARSAPUR(G),1181,590,7
ADILABAD,DILAWARPUR,RAMPUR,760,444,2
ADILABAD,DILAWARPUR,SAMANDARPALLY,202,113,3
ADILABAD,DILAWARPUR,SANGVI,342,218,3
ADILABAD,DILAWARPUR,SIRGAPUR,600,324,3
ADILABAD,DILAWARPUR,TEMBORNI,516,247,3
ADILABAD,DILAWARPUR,VELMEL,319,216,1
ADILABAD,GUDIHATHNOOR,GUDIHATHINUR,1210,739,2
ADILABAD,GUDIHATHNOOR,KAMALA PUR,347,204,
ADILABAD,GUDIHATHNOOR,KOLHARI,443,201,1
ADILABAD,GUDIHATHNOOR,LINGAPUR,301,179,
ADILABAD,GUDIHATHNOOR,MACHAPUR,396,231,
ADILABAD,GUDIHATHNOOR,MANNUR,1033,577,3
ADILABAD,GUDIHATHNOOR,MUTHNUR,416,240,2
ADILABAD,GUDIHATHNOOR,SEETAGONDI,468,256,
ADILABAD,GUDIHATHNOOR,SHANTAPUR,490,265,
ADILABAD,GUDIHATHNOOR,TOSHAM,841,476,1
ADILABAD,GUDIHATHNOOR,UMRI B,287,158,1
ADILABAD,ICHODA,ADEGAON K,596,316,2
ADILABAD,ICHODA,BOREGAON,718,351,
ADILABAD,ICHODA,DHABHA K,334,171,1
ADILABAD,ICHODA,DHARAMPURI,247,113,2
ADILABAD,ICHODA,GIRJAM,716,378,1
ADILABAD,ICHODA,GUNDALA,651,441,
ADILABAD,ICHODA,ICHODA,1913,1064,13
ADILABAD,ICHODA,KESHAVPATNAM,885,585,2
ADILABAD,ICHODA,KOKASMANNUR,480,234,1
ADILABAD,ICHODA,MALYAL,485,241,3
ADILABAD,ICHODA,MANKAPUR,285,155,
ADILABAD,ICHODA,MOKHRA- B,395,186,4
ADILABAD,ICHODA,NARSAPUR,401,220,
ADILABAD,ICHODA,NEREDIGONDA-G,582,411,2
ADILABAD,ICHODA,PONNA,305,175,1
ADILABAD,ICHODA,SIRICHALMA,496,347,4
ADILABAD,ICHODA,SIRIKONDA,764,398,5
ADILABAD,ICHODA,SOANPALLE,329,160,
ADILABAD,ICHODA,TALAMADRI,529,268,2
ADILABAD,INDERAVELLY,DASNAPUR,630,339,2
ADILABAD,INDERAVELLY,DEVAPUR,348,181,
ADILABAD,INDERAVELLY,DHANNURA (B),672,347,
ADILABAD,INDERAVELLY,DODANDA,340,209,2
ADILABAD,INDERAVELLY,GINNERA,563,295,3
ADILABAD,INDERAVELLY,GOURAPUR,335,161,1
ADILABAD,INDERAVELLY,INDERVELLY B,2548,1441,8
ADILABAD,INDERAVELLY,KESLAPUR,571,321,4
ADILABAD,INDERAVELLY,MUTHNUR,416,213,1
ADILABAD,INDERAVELLY,POCHAMPALLE,797,520,1
ADILABAD,INDERAVELLY,RAMPUR B,399,242,1
ADILABAD,INDERAVELLY,TEJAPUR,407,262,1
ADILABAD,INDERAVELLY,WADAGAON,485,284,5
ADILABAD,INDERAVELLY,WAIPET,801,526,4
ADILABAD,INDERAVELLY,WALGANDA HEERAPUR,678,503,
ADILABAD,INDERAVELLY,YMAIKUNTA,382,215,4
ADILABAD,JAINAD,ADA,254,163,
ADILABAD,JAINAD,AKOLI,135,89,
ADILABAD,JAINAD,BAHADURPUR,330,201,
ADILABAD,JAINAD,BALAPUR,378,190,
ADILABAD,JAINAD,BELLURI,449,257,3
ADILABAD,JAINAD,BHORAJ,452,249,
ADILABAD,JAINAD,DEEPAIGUDA,560,349,3
ADILABAD,JAINAD,GIMMA(K),544,289,2
ADILABAD,JAINAD,GUDA,438,267,4
ADILABAD,JAINAD,JAINAD,1121,639,2
ADILABAD,JAINAD,JAMINI,425,284,
ADILABAD,JAINAD,KAMAI,118,53,
