District ,Mandal,Muncipality,WardName,female,male,transgender
ADILABAD,ADILABAD,Adilabad,Revenue Ward No  1,1119,597,4
ADILABAD,ADILABAD,Adilabad,Revenue Ward No  2,677,429,2
ADILABAD,ADILABAD,Adilabad,Revenue Ward No  3,323,137,2
ADILABAD,ADILABAD,Adilabad,Revenue Ward No  4,451,230,
ADILABAD,ADILABAD,Adilabad,Revenue Ward No  5,253,101,
ADILABAD,ADILABAD,Adilabad,Revenue Ward No  6,235,63,
ADILABAD,ADILABAD,Adilabad,Revenue Ward No  7,119,23,
ADILABAD,ADILABAD,Adilabad,Revenue Ward No 10,204,74,
ADILABAD,ADILABAD,Adilabad,Revenue Ward No 11,332,160,1
ADILABAD,ADILABAD,Adilabad,Revenue Ward No 12,362,231,
ADILABAD,ADILABAD,Adilabad,Revenue Ward No 13,576,400,1
ADILABAD,ADILABAD,Adilabad,Revenue Ward No 14,483,279,1
ADILABAD,ADILABAD,Adilabad,Revenue Ward No 15,748,428,2
ADILABAD,ADILABAD,Adilabad,Revenue Ward No 16,386,170,
ADILABAD,ADILABAD,Adilabad,Revenue Ward No 17,158,71,2
ADILABAD,ADILABAD,Adilabad,Revenue Ward No 18,288,116,3
ADILABAD,ADILABAD,Adilabad,Revenue Ward No 19,674,314,3
ADILABAD,ADILABAD,Adilabad,Revenue Ward No 20,110,25,
ADILABAD,ADILABAD,Adilabad,Revenue Ward No 21,226,71,
ADILABAD,ADILABAD,Adilabad,Revenue Ward No 22,213,78,2
ADILABAD,ADILABAD,Adilabad,Revenue Ward No 23,212,115,
ADILABAD,ADILABAD,Adilabad,Revenue Ward No 24,425,282,3
ADILABAD,ADILABAD,Adilabad,Revenue Ward No 25,158,54,1
ADILABAD,ADILABAD,Adilabad,Revenue Ward No 26,393,142,1
ADILABAD,ADILABAD,Adilabad,Revenue Ward No 27,234,85,
ADILABAD,ADILABAD,Adilabad,Revenue Ward No 28,356,197,
ADILABAD,ADILABAD,Adilabad,Revenue Ward No 29,421,196,1
ADILABAD,ADILABAD,Adilabad,Revenue Ward No 30,742,511,4
ADILABAD,ADILABAD,Adilabad,Revenue Ward No 31,466,316,1
ADILABAD,ADILABAD,Adilabad,Revenue Ward No 32,1175,771,17
ADILABAD,ADILABAD,Adilabad,Revenue Ward No 33,481,313,4
ADILABAD,ADILABAD,Adilabad,Revenue Ward No 34,346,148,3
ADILABAD,ADILABAD,Adilabad,Revenue Ward No 35,319,136,
ADILABAD,ADILABAD,Adilabad,Revenue Ward No 36,522,267,2
ADILABAD,ADILABAD,Adilabad,Revenue Ward No 8,83,34,1
ADILABAD,ADILABAD,Adilabad,Revenue Ward No 9,243,97,3
ADILABAD,BELLAMPALLE,Bellampally,Revenue Ward No  1,250,129,
ADILABAD,BELLAMPALLE,Bellampally,Revenue Ward No  10,185,69,1
ADILABAD,BELLAMPALLE,Bellampally,Revenue Ward No  11,173,78,
ADILABAD,BELLAMPALLE,Bellampally,Revenue Ward No  12,255,132,
ADILABAD,BELLAMPALLE,Bellampally,Revenue Ward No  13,234,139,3
ADILABAD,BELLAMPALLE,Bellampally,Revenue Ward No  14,355,210,
ADILABAD,BELLAMPALLE,Bellampally,Revenue Ward No  15,286,143,2
ADILABAD,BELLAMPALLE,Bellampally,Revenue Ward No  16,218,118,1
ADILABAD,BELLAMPALLE,Bellampally,Revenue Ward No  17,169,83,
ADILABAD,BELLAMPALLE,Bellampally,Revenue Ward No  18,264,137,
ADILABAD,BELLAMPALLE,Bellampally,Revenue Ward No  19,213,121,
ADILABAD,BELLAMPALLE,Bellampally,Revenue Ward No  2,321,151,
ADILABAD,BELLAMPALLE,Bellampally,Revenue Ward No  20,256,132,
ADILABAD,BELLAMPALLE,Bellampally,Revenue Ward No  21,243,124,1
ADILABAD,BELLAMPALLE,Bellampally,Revenue Ward No  22,190,102,1
ADILABAD,BELLAMPALLE,Bellampally,Revenue Ward No  23,157,72,
ADILABAD,BELLAMPALLE,Bellampally,Revenue Ward No  24,115,51,
ADILABAD,BELLAMPALLE,Bellampally,Revenue Ward No  25,104,62,2
ADILABAD,BELLAMPALLE,Bellampally,Revenue Ward No  26,912,485,5
ADILABAD,BELLAMPALLE,Bellampally,Revenue Ward No  27,378,205,1
ADILABAD,BELLAMPALLE,Bellampally,Revenue Ward No  28,509,299,1
ADILABAD,BELLAMPALLE,Bellampally,Revenue Ward No  3,306,173,
ADILABAD,BELLAMPALLE,Bellampally,Revenue Ward No  4,210,117,3
ADILABAD,BELLAMPALLE,Bellampally,Revenue Ward No  5,180,81,
ADILABAD,BELLAMPALLE,Bellampally,Revenue Ward No  6,263,137,
ADILABAD,BELLAMPALLE,Bellampally,Revenue Ward No  7,183,70,1
ADILABAD,BELLAMPALLE,Bellampally,Revenue Ward No  8,416,258,4
ADILABAD,BELLAMPALLE,Bellampally,Revenue Ward No  9,655,390,5
ADILABAD,BHAINSA,Bhainsa,Revenue Ward No  1,267,188,1
ADILABAD,BHAINSA,Bhainsa,Revenue Ward No  2,81,42,1
ADILABAD,BHAINSA,Bhainsa,Revenue Ward No  3,1275,1033,5
ADILABAD,BHAINSA,Bhainsa,Revenue Ward No  4,244,175,2
ADILABAD,BHAINSA,Bhainsa,Revenue Ward No  5,171,92,2
ADILABAD,BHAINSA,Bhainsa,Revenue Ward No  6,101,72,
ADILABAD,BHAINSA,Bhainsa,Revenue Ward No 10,202,215,6
ADILABAD,BHAINSA,Bhainsa,Revenue Ward No 11,182,156,
ADILABAD,BHAINSA,Bhainsa,Revenue Ward No 12,350,281,1
ADILABAD,BHAINSA,Bhainsa,Revenue Ward No 13,1064,1007,6
ADILABAD,BHAINSA,Bhainsa,Revenue Ward No 14,626,345,2
ADILABAD,BHAINSA,Bhainsa,Revenue Ward No 15,1010,652,7
ADILABAD,BHAINSA,Bhainsa,Revenue Ward No 16,561,316,1
ADILABAD,BHAINSA,Bhainsa,Revenue Ward No 17,246,109,3
ADILABAD,BHAINSA,Bhainsa,Revenue Ward No 18,297,144,2
ADILABAD,BHAINSA,Bhainsa,Revenue Ward No 19,278,178,3
ADILABAD,BHAINSA,Bhainsa,Revenue Ward No 20,193,94,
ADILABAD,BHAINSA,Bhainsa,Revenue Ward No 21,226,112,2
ADILABAD,BHAINSA,Bhainsa,Revenue Ward No 22,230,123,2
ADILABAD,BHAINSA,Bhainsa,Revenue Ward No 23,218,144,2
ADILABAD,BHAINSA,Bhainsa,Revenue Ward No 7,5,6,
ADILABAD,BHAINSA,Bhainsa,Revenue Ward No 8,286,277,1
ADILABAD,BHAINSA,Bhainsa,Revenue Ward No 9,184,141,1
ADILABAD,KAGAZNAGAR,Kagaznagar,Revenue Ward No  1,262,130,
ADILABAD,KAGAZNAGAR,Kagaznagar,Revenue Ward No  2,162,53,
ADILABAD,KAGAZNAGAR,Kagaznagar,Revenue Ward No  3,195,91,2
ADILABAD,KAGAZNAGAR,Kagaznagar,Revenue Ward No  4,254,131,
ADILABAD,KAGAZNAGAR,Kagaznagar,Revenue Ward No 10,370,192,1
ADILABAD,KAGAZNAGAR,Kagaznagar,Revenue Ward No 11,333,170,1
ADILABAD,KAGAZNAGAR,Kagaznagar,Revenue Ward No 12,254,107,
ADILABAD,KAGAZNAGAR,Kagaznagar,Revenue Ward No 13,122,38,1
ADILABAD,KAGAZNAGAR,Kagaznagar,Revenue Ward No 14,194,86,2
ADILABAD,KAGAZNAGAR,Kagaznagar,Revenue Ward No 15,250,97,
ADILABAD,KAGAZNAGAR,Kagaznagar,Revenue Ward No 16,304,154,2
ADILABAD,KAGAZNAGAR,Kagaznagar,Revenue Ward No 17,393,193,
ADILABAD,KAGAZNAGAR,Kagaznagar,Revenue Ward No 18,204,67,
ADILABAD,KAGAZNAGAR,Kagaznagar,Revenue Ward No 19,268,160,1
ADILABAD,KAGAZNAGAR,Kagaznagar,Revenue Ward No 20,342,192,8
ADILABAD,KAGAZNAGAR,Kagaznagar,Revenue Ward No 21,343,184,2
ADILABAD,KAGAZNAGAR,Kagaznagar,Revenue Ward No 22,343,208,
ADILABAD,KAGAZNAGAR,Kagaznagar,Revenue Ward No 23,203,91,1
ADILABAD,KAGAZNAGAR,Kagaznagar,Revenue Ward No 24,158,78,
ADILABAD,KAGAZNAGAR,Kagaznagar,Revenue Ward No 25,81,32,
ADILABAD,KAGAZNAGAR,Kagaznagar,Revenue Ward No 26,153,62,
ADILABAD,KAGAZNAGAR,Kagaznagar,Revenue Ward No 27,181,77,1
ADILABAD,KAGAZNAGAR,Kagaznagar,Revenue Ward No 28,198,137,1
ADILABAD,KAGAZNAGAR,Kagaznagar,Revenue Ward No 5,256,124,1
ADILABAD,KAGAZNAGAR,Kagaznagar,Revenue Ward No 6,225,123,
ADILABAD,KAGAZNAGAR,Kagaznagar,Revenue Ward No 7,253,133,
ADILABAD,KAGAZNAGAR,Kagaznagar,Revenue Ward No 8,357,204,1
ADILABAD,KAGAZNAGAR,Kagaznagar,Revenue Ward No 9,357,189,1
ADILABAD,MANCHERIAL,Mancherial,Revenue Ward No  10,435,232,1
ADILABAD,MANCHERIAL,Mancherial,Revenue Ward No  11,183,93,1
ADILABAD,MANCHERIAL,Mancherial,Revenue Ward No  12,485,273,
ADILABAD,MANCHERIAL,Mancherial,Revenue Ward No  13,512,320,2
ADILABAD,MANCHERIAL,Mancherial,Revenue Ward No  14,477,258,3
ADILABAD,MANCHERIAL,Mancherial,Revenue Ward No  15,435,241,1
ADILABAD,MANCHERIAL,Mancherial,Revenue Ward No  16,736,465,2
ADILABAD,MANCHERIAL,Mancherial,Revenue Ward No  17,400,206,
ADILABAD,MANCHERIAL,Mancherial,Revenue Ward No  18,199,79,1
ADILABAD,MANCHERIAL,Mancherial,Revenue Ward No  19,192,86,
ADILABAD,MANCHERIAL,Mancherial,Revenue Ward No  2,498,320,2
ADILABAD,MANCHERIAL,Mancherial,Revenue Ward No  20,206,94,1
ADILABAD,MANCHERIAL,Mancherial,Revenue Ward No  21,192,62,
ADILABAD,MANCHERIAL,Mancherial,Revenue Ward No  22,82,31,
ADILABAD,MANCHERIAL,Mancherial,Revenue Ward No  23,275,127,1
ADILABAD,MANCHERIAL,Mancherial,Revenue Ward No  24,287,135,
ADILABAD,MANCHERIAL,Mancherial,Revenue Ward No  25,339,185,1
ADILABAD,MANCHERIAL,Mancherial,Revenue Ward No  26,420,250,2
ADILABAD,MANCHERIAL,Mancherial,Revenue Ward No  27,648,457,2
ADILABAD,MANCHERIAL,Mancherial,Revenue Ward No  28,333,178,
ADILABAD,MANCHERIAL,Mancherial,Revenue Ward No  3,409,197,1
ADILABAD,MANCHERIAL,Mancherial,Revenue Ward No  4,247,143,3
ADILABAD,MANCHERIAL,Mancherial,Revenue Ward No  5,231,161,
ADILABAD,MANCHERIAL,Mancherial,Revenue Ward No  6,995,695,10
ADILABAD,MANCHERIAL,Mancherial,Revenue Ward No  7,748,470,4
ADILABAD,MANCHERIAL,Mancherial,Revenue Ward No  8,834,494,4
ADILABAD,MANCHERIAL,Mancherial,Revenue Ward No 1,187,110,1
ADILABAD,MANCHERIAL,Mancherial,Revenue Ward No 29,242,97,
ADILABAD,MANCHERIAL,Mancherial,Revenue Ward No 30,226,95,1
ADILABAD,MANCHERIAL,Mancherial,Revenue Ward No 31,284,186,1
ADILABAD,MANCHERIAL,Mancherial,Revenue Ward No 32,518,292,1
ADILABAD,MANCHERIAL,Mancherial,Revenue Ward No 9,456,218,2
ADILABAD,MANDAMARRI,Mandamarri,Revenue Ward No  1,211,106,
ADILABAD,MANDAMARRI,Mandamarri,Revenue Ward No  10,216,143,
ADILABAD,MANDAMARRI,Mandamarri,Revenue Ward No  11,298,159,
ADILABAD,MANDAMARRI,Mandamarri,Revenue Ward No  12,337,182,1
ADILABAD,MANDAMARRI,Mandamarri,Revenue Ward No  13,245,159,
ADILABAD,MANDAMARRI,Mandamarri,Revenue Ward No  14,189,101,
ADILABAD,MANDAMARRI,Mandamarri,Revenue Ward No  15,521,340,1
ADILABAD,MANDAMARRI,Mandamarri,Revenue Ward No  16,440,220,5
ADILABAD,MANDAMARRI,Mandamarri,Revenue Ward No  17,272,131,
ADILABAD,MANDAMARRI,Mandamarri,Revenue Ward No  18,320,156,
ADILABAD,MANDAMARRI,Mandamarri,Revenue Ward No  19,420,254,1
ADILABAD,MANDAMARRI,Mandamarri,Revenue Ward No  2,330,206,
ADILABAD,MANDAMARRI,Mandamarri,Revenue Ward No  20,416,245,
ADILABAD,MANDAMARRI,Mandamarri,Revenue Ward No  21,374,205,
ADILABAD,MANDAMARRI,Mandamarri,Revenue Ward No  22,297,167,
ADILABAD,MANDAMARRI,Mandamarri,Revenue Ward No  23,368,201,1
ADILABAD,MANDAMARRI,Mandamarri,Revenue Ward No  24,545,378,3
ADILABAD,MANDAMARRI,Mandamarri,Revenue Ward No  3,308,169,
ADILABAD,MANDAMARRI,Mandamarri,Revenue Ward No  4,266,174,1
ADILABAD,MANDAMARRI,Mandamarri,Revenue Ward No  5,227,144,
ADILABAD,MANDAMARRI,Mandamarri,Revenue Ward No  6,602,393,1
ADILABAD,MANDAMARRI,Mandamarri,Revenue Ward No  7,458,258,
ADILABAD,MANDAMARRI,Mandamarri,Revenue Ward No  8,205,127,
ADILABAD,MANDAMARRI,Mandamarri,Revenue Ward No  9,255,158,
ADILABAD,NIRMAL,Nirmal,Revenue Ward 10,284,102,2
ADILABAD,NIRMAL,Nirmal,Revenue Ward No  1,314,171,
ADILABAD,NIRMAL,Nirmal,Revenue Ward No  2,211,125,
ADILABAD,NIRMAL,Nirmal,Revenue Ward No  3,261,122,
ADILABAD,NIRMAL,Nirmal,Revenue Ward No  4,251,99,2
ADILABAD,NIRMAL,Nirmal,Revenue Ward No  5,422,143,2
ADILABAD,NIRMAL,Nirmal,Revenue Ward No  6,438,182,1
ADILABAD,NIRMAL,Nirmal,Revenue Ward No  7,484,322,3
ADILABAD,NIRMAL,Nirmal,Revenue Ward No  8,251,92,
ADILABAD,NIRMAL,Nirmal,Revenue Ward No  9,216,66,
ADILABAD,NIRMAL,Nirmal,Revenue Ward No 29,605,341,5
ADILABAD,NIRMAL,Nirmal,Revenue Ward No 30,455,294,2
ADILABAD,NIRMAL,Nirmal,Revenue Ward No 31,245,157,1
ADILABAD,NIRMAL,Nirmal,Revenue Ward No 32,253,138,
ADILABAD,NIRMAL,Nirmal,Revenue Ward No 33,224,157,2
ADILABAD,NIRMAL,Nirmal,Revenue Ward No 34,323,101,
ADILABAD,NIRMAL,Nirmal,Revenue Ward No 35,538,291,3
ADILABAD,NIRMAL,Nirmal,Revenue Ward No 36,1026,762,3
ADILABAD,NIRMAL,Nirmal,Revenue Ward No.11,411,219,3
ADILABAD,NIRMAL,Nirmal,Revenue Ward No.12,268,122,1
ADILABAD,NIRMAL,Nirmal,Revenue Ward No.13,167,56,
ADILABAD,NIRMAL,Nirmal,Revenue Ward No.14,134,52,
ADILABAD,NIRMAL,Nirmal,Revenue Ward No.15,170,54,1
ADILABAD,NIRMAL,Nirmal,Revenue Ward No.16,351,265,1
ADILABAD,NIRMAL,Nirmal,Revenue Ward No.17,203,111,
ADILABAD,NIRMAL,Nirmal,Revenue Ward No.18,153,101,1
ADILABAD,NIRMAL,Nirmal,Revenue Ward No.19,234,61,
ADILABAD,NIRMAL,Nirmal,Revenue Ward No.20,278,107,
ADILABAD,NIRMAL,Nirmal,Revenue Ward No.21,617,325,3
ADILABAD,NIRMAL,Nirmal,Revenue Ward No.22,378,229,1
ADILABAD,NIRMAL,Nirmal,Revenue Ward No.23,256,92,1
ADILABAD,NIRMAL,Nirmal,Revenue Ward No.24,334,158,2
ADILABAD,NIRMAL,Nirmal,Revenue Ward No.25,258,103,
ADILABAD,NIRMAL,Nirmal,Revenue Ward No.26,389,173,1
ADILABAD,NIRMAL,Nirmal,Revenue Ward No.27,585,332,2
ADILABAD,NIRMAL,Nirmal,Revenue Ward No.28,957,534,2
KARIMNAGAR,HUSNABAD,Husnabad,Revenue Ward No.1,207,118,
KARIMNAGAR,HUSNABAD,Husnabad,Revenue Ward No.10,179,87,
KARIMNAGAR,HUSNABAD,Husnabad,Revenue Ward No.11,152,56,
KARIMNAGAR,HUSNABAD,Husnabad,Revenue Ward No.12,137,73,
KARIMNAGAR,HUSNABAD,Husnabad,Revenue Ward No.13,61,35,
KARIMNAGAR,HUSNABAD,Husnabad,Revenue Ward No.14,145,59,1
KARIMNAGAR,HUSNABAD,Husnabad,Revenue Ward No.15,101,44,
KARIMNAGAR,HUSNABAD,Husnabad,Revenue Ward No.16,327,197,
