Districts,RTC Bus Depots,RTC Fleet of Buses,Daily Operated Length (Kms.)
ADILABAD,2,171,67858
BHADRADRI,3,291,133755
HYDERABAD,13,1686,482280
JAGTIAL ,3,254,106848
JANGAON ,1,115,41058
JAYASHANKAR ,1,69,27976
JOGULAMBA ,1,111,36791
KAMAREDDY ,2,237,86939
KARIMNAGAR ,3,311,125433
KHAMMAM ,3,340,145981
KOMARAM BHEEM ,1,80,31680
MAHABUBABAD,2,157,61297
MAHABUBNAGAR,2,247,93475
MANCHERIAL ,1,144,58603
MEDAK ,1,103,38500
MEDCHAL,7,1054,266544
NAGARKURNOOL ,4,314,118289
NALGONDA ,4,422,175010
NIRMAL ,2,229,94163
NIZAMABAD ,4,433,176415
PEDDAPALLI ,2,192,75634
RAJANNA ,2,130,53698
RANGAREDDY ,11,1370,375949
SANGAREDDY ,4,439,150653
SIDDIPET ,4,283,102830
SURYAPET ,2,212,84938
VIKARABAD ,3,260,89750
WANAPARTHY ,1,111,45328
WARANGAL (R) ,2,192,75732
WARANGAL (U),3,417,166026
YADADRI ,1,108,42072
