Districts,Primary Schools,Primary Schools Enrollment,Upper Primary Schools,Upper Primary Schools Enrollment,High Schools,High Schools Enrollment,Model Schools,Model Schools Enrollment,KGBV Schools,KGBV Schools Enrollment,Central Schools,Central Schools Enrollment,Junior Colleges,Degree Colleges,Degree Colleges Seats,Engineering Colleges,Engineering Colleges Seats,Pharmacy Colleges,Pharmacy Colleges Seats,MBA Colleges,MBA Colleges Seats,MCA Colleges,MCA Colleges Seats,B.Ed. Colleges,B.Ed. Colleges Seats,Law Colleges,Law Colleges Seats
ADILABAD,988,40021,177,20808,235,74146,6,2249,13,2336,1,359,47,30,11380,0,0,0,0,0,0,0,0,2,100,0,0
BHADRADRI,1085,42388,262,24816,275,96971,1,487,9,1695,1,625,71,34,14733,3,1020,1,60,4,240,0,0,6,300,0,0
HYDERABAD,1565,316183,568,118543,1344,410232,0,0,0,0,9,7226,317,215,64213,17,7910,9,748,55,6920,15,1000,18,2000,10,1380
JAGTIAL ,563,31780,284,31175,361,87353,15,6614,12,2032,0,0,62,32,11110,1,300,0,0,1,180,0,0,3,300,0,0
JANGAON ,375,17729,116,10133,201,58787,9,4200,11,1950,0,0,58,19,6725,3,840,3,180,0,0,0,0,7,350,0,0
JAYASHANKAR ,708,24762,157,13846,251,58948,9,4082,16,2816,0,0,48,21,7062,0,0,0,0,0,0,0,0,0,0,0,0
JOGULAMBA ,297,28867,140,23513,147,51126,0,0,9,1904,0,0,27,14,5668,0,0,0,0,0,0,0,0,3,300,0,0
KAMAREDDY ,732,41841,222,26187,302,85104,6,2704,17,3295,1,391,53,23,11504,0,0,0,0,0,0,0,0,3,300,0,0
KARIMNAGAR ,455,20964,169,17595,401,113743,11,5218,12,1731,2,1119,84,38,23582,10,4515,6,390,16,1380,2,120,8,700,1,180
KHAMMAM ,869,47624,308,28928,424,132465,1,467,13,2419,2,1502,93,41,22053,13,4965,8,480,14,960,0,0,11,650,1,180
KOMARAM BHEEM ,905,29916,171,20276,150,43416,1,475,12,2259,1,400,23,10,2545,0,0,0,0,0,0,0,0,2,150,0,0
MAHABUBABAD,796,28802,197,20748,236,69656,7,3368,12,2319,1,216,67,27,9925,0,0,0,0,0,0,0,0,3,150,0,0
MAHABUBNAGAR,1082,72643,335,51470,413,129929,3,1341,21,4233,1,986,82,26,13373,2,900,4,280,4,240,0,0,12,1100,0,0
MANCHERIAL ,589,24172,188,17764,283,82421,5,1584,14,2515,0,0,52,31,11865,1,75,0,0,0,0,0,0,0,0,0,0
MEDAK ,645,38236,189,24258,231,64717,9,3890,15,2921,0,0,53,24,7526,1,1170,2,200,2,120,0,0,7,650,0,0
MEDCHAL,444,48968,362,64648,896,397963,0,0,0,0,8,4473,197,88,24699,49,28950,20,1760,67,8716,7,450,15,1500,1,120
NAGARKURNOOL ,646,38739,234,31371,237,64774,2,917,16,3193,1,398,59,24,7382,0,0,0,0,1,60,0,0,7,700,0,0
NALGONDA ,1201,58767,298,39880,540,156501,17,7569,22,4239,3,1404,111,51,19968,6,1680,3,220,5,288,1,60,25,2150,1,60
NIRMAL ,599,27832,211,24890,211,66724,1,490,13,2530,0,0,41,28,9961,0,0,0,0,0,0,0,0,0,0,0,0
NIZAMABAD ,867,56929,341,38777,533,180119,9,4269,19,3651,1,208,86,47,17358,4,1470,3,170,6,510,2,100,9,900,1,50
PEDDAPALLI ,404,16941,149,13477,247,74711,6,2702,7,1121,1,556,52,25,9205,4,1050,1,100,4,360,0,0,2,200,0,0
RAJANNA ,353,18455,89,8129,219,47576,6,2789,10,1445,1,199,40,20,5805,0,0,0,0,0,0,0,0,4,400,0,0
RANGAREDDY ,974,71417,620,92716,954,373209,9,3698,18,3600,6,2958,234,99,23481,60,29715,24,1868,66,7680,2,120,25,2450,3,720
SANGAREDDY ,911,64175,372,45345,431,154099,8,3493,17,3343,3,2536,85,36,12620,7,2200,3,260,4,240,1,30,4,350,0,0
SIDDIPET ,660,40304,187,20520,404,101192,14,6489,16,2593,1,373,90,40,15152,3,840,2,160,4,300,1,60,10,950,1,120
SURYAPET ,720,37908,186,20455,388,96722,10,4626,14,2553,0,0,75,38,11666,7,2910,7,580,4,360,0,0,4,350,0,0
VIKARABAD ,778,48636,192,24693,290,89853,9,3438,17,3326,0,0,52,16,4767,0,0,0,0,1,60,0,0,3,300,0,0
WANAPARTHY ,377,25933,132,18973,177,52143,3,1371,10,2029,0,0,47,15,5979,0,0,0,0,1,120,0,0,5,500,0,0
WARANGAL (R) ,498,23218,143,14682,279,62577,6,2910,12,2299,0,0,50,25,10252,3,1740,7,420,7,480,0,0,7,350,0,0
WARANGAL (U),374,25266,183,18418,458,138430,3,1445,5,892,3,1365,127,32,17622,13,6540,14,960,27,2460,6,496,8,600,2,380
YADADRI ,487,22022,129,12075,285,73854,6,2802,9,1344,0,0,54,27,7783,12,5808,6,390,12,1200,0,0,4,350,0,0
